Timestamp,A1 What is your age?,A2 What is your sexual orientation?,A2.1 What is your gender identity?,A3 Where do you currently live?,"A4 In your own words, why do you use Bumble?",A5 How often do you use Bumble?,A6 How long have you been using Bumble,A7 Have you ever paid for a bumble feature— whether in the past or recently?,"A8 If yes, which feature(s) did you pay for? (Select all that apply) If no, check None only.","A9 On a scale of 1 to 4, how would you rate your satisfaction in using Bumble so far?

1 - Very dissatisfied
2 - Dissatisfied
3 - Satisfied
4 - Very satisfied
",A10 What type of connection do you use Bumble the most for?,"D1 When seeking dating opportunities on Bumble, do you have a specific goal in mind? (Select one/all that apply)",D2 Do you use your real name when creating a dating account in Bumble?,"D3 On the previous question, briefly explain why you do/do not use your real name?",D4 How many matches (on average) do you typically make in a week?,D5 How do you approach the swiping feature on Bumble personally?,"D6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference?",D7 What type of people do you usually look for in Bumble Dating?,D8 What type of people do you prefer to date?,D9 Do you first move or first message someone you've matched with on Bumble?,"D10 For the previous question, why or why not?",D11 What is/are the biggest challenge/s you face when looking for dates on Bumble?,D12 What are your biggest dislikes when interacting with people you've matched with?,"D13 In a scale of 1 to 5, rate on how Bumble affected your social life.","D14 In a scale of 1 to 5, rate on how Bumble affected your self-confidence.",D15 Share what learning experience/s you've learned by using Bumble to find a date or love as a student.,"B1 When finding friends on Bumble, do you have a specific goal in mind? (Select one/all that apply)",B2 Do you use your real name when creating a BFF account in Bumble?,"B3 On the previous question, briefly explain why you do/do not use your real name? ",B4 How many matches (on average) do you typically make in a week?,B5 How do you approach the swiping feature on Bumble personally?,"B6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference? ",B7 What type of people do you usually look for in Bumble BFF?,B8 What type of people do you prefer to become friends with?,B9 Do you first move or first message someone you've matched with on Bumble? ,"B10 For the previous question, why or why not?",B11 What is/are the biggest challenge/s you face when looking for friends on Bumble? ,B12 What is the main reason you're seeking new friends right now?,B13 Have you ever met any of your BFF match in person?,B14 Estimate how many friends (may it be real life or online) you've made over the course of your Bumble BFF use?,B15 Share what learning experience/s you've learned by using Bumble to find a friend/s as a student. ,"C1 When finding people in Bizz on Bumble, do you have a specific goal in mind? (Select one/all that apply)",C2 Do you use your real name when creating a professional account in Bumble Bizz?,"C3 On the previous question, briefly explain why you do/do not use your real name? ",C4 How many matches (on average) do you typically make in a week?,C5 How do you approach the swiping feature on Bumble personally? ,C6 What type of people do you usually look for in Bumble Bizz?,C7 How often do you reach out to new contacts on Bumble for business purposes?,C8 What is/are the biggest challenge/s you face when looking for professionals in Bumble?,C9 What do you believe is the biggest advantage of using Bumble for your networking goals?,C10 Have you ever secured a Bumble business contact over the course of your Bumble Bizz usage?,"C11 From the previous question, can you estimate how many matches you've made so far?",C12 Do you find your conversations on Bumble Bizz leads to follow-ups or further networking opportunities on other platforms or face-to-face meetups?,"C13 In a scale of 1 to 5, rate on how Bumble Bizz affected your self-confidence","C14 In a scale of 1 to 5, rate on how Bumble Bizz helped you in your career growth.",C15 Share what learning experience/s you've learned by using Bumble to find professional connections.
4/5/2025 22:01:52,22,Pansexual,Genderfluid,Laguna,Find dates or chats ,Few times a month,1-3 months,No,None,2,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment",No,I don't identify with my legal name,5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",No one below 20 no one above 28. Too much experience difference and feels weird ,Same Interests,Women or enbys rarely cis straight males,Yes,Cuz most of people on bumble are dry af and even if they matched with you they rarely initiate anything so you end up with multiple nothing ,"Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches, Dry convos or not same energy",Making me do all the convo,4 - Somewhat positively improved my social life,2 - Somewhat negatively affected my self-confidence,There are probably way better ways that is less time consuming and affecting of self image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 22:39:38,22,Bisexual,Female,Laguna,for external validation,Few times a week,More than a year,No,None,2,Dating,"Intimacy, without commitment",Yes,i dont mind if they knew my name,5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",same university - so we could have collective experience already,Same University/College,everyone,No,because i have my own prompt for them to answer,Not my type,they don't pass the vibe check,3 - No Impact,4 - Somewhat positively improved my self-confidence,i learned not to rely too much on bumble profiles because there's more to them than the profile itself (you may take this negatively or positively),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2025 22:56:39,18,Lesbian,Female,Laguna,In hopes of finding a genuine romantic connection with someone.,Several times a day,1-3 months,Yes,Boost,3,Dating,"Fun, casual dates, Long-term relationship",Yes,"because it's the most basic information that a person can have from you. when i made my account, it's a choice that i did with the idea of selling my self out on the platform. it's a commitment between me and the idea of knowing someone wholeheartedly, and the first thing that i can offer to that commitment is my real name--my real identity.",15,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","even though there's a filtering feature on bumble, i still selectively choose people whom i will entertain based on their age. i prefer people around my age (in romatic terms) because i don't like the idea of committing myself to someone who belongs in a different generation. i believe that our views and goals in life would hinder us to form a real bond.","Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Women,Yes,because i've decided to install the app so why would i let mt pride take over by not taking the step to message them first? ang ironic lang kasi if hindi ko naman i-mamaximize yung messaging feature nung app eh tuwing nagmamatch lang naman nagkakaroon ng opportunity to do so. and kapag nagmatch kasi ay meaning nun na mutual ang pagiging interested niyo sa isa't-isa.,"Finding genuine connections, Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type",sudden ghostings!! and yung mga hanggang exchange na lang ng ig accounts hahaha kainiz !!,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,i met my ex on bumble and one of thing i have learned ay to take your time to get to know someone!! lalo na now na very fast-paced ang dating sa wlw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2025 1:57:57,22,Pansexual,Non-binary,Cavite,to look for any type of connection ,Few times a month,More than a year,Yes,Premium,4,Dating,"Fun, casual dates, Intimacy, without commitment",No,For security purposes,50+,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",To not waste time and to match with those who are my type,"Same University/College, Same Interests",Men,Yes,"If they are really my type and we matched, messaging first should be easy","Finding genuine connections, Having similar relationship goals",They seem to show/offer only the best parts of themselves and may come off as inauthentic.,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,"Finding a person who fits your standards is already rare, but having the same expectations and forming a genuine connection after matching are more difficult. 

Also, I think users around my age tend to “lovebomb” and have the tendency to pursue “situationships” or flings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2025 11:24:58,20,pansexual,Non-binary,Laguna,To meet people with the same interests as me,Rarely,1-3 months,No,None,3,BFF,,,,,,,,,,,,,,,,"Gaming, Live Music",No,for privacy reasons ,2-5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","If i did answer that preference, it would be because of interests and connection that might come with age.",Same Interests,Non-binary people,Yes,"Since I am on the perspective that we have the same interest, I would get excited to get to know them better.",Misaligned goals (some are looking for other various type of friendships or looking for dates in BFF etc.),Seeking friends with similar hobbies,Yes,3,"Online socialization definitely have ups and downs, but maintaining consistent and firm boundaries could help with guiding you. Its also important to not give out any of your personal information. When socializing online, its very important to keep in mind being cautious and not be overly trusting. ",,,,,,,,,,,,,,,
4/6/2025 17:54:16,25,Bisexual,Female,Laguna,to look for a fling/relationship,Few times a week,More than a year,No,None,3,Dating,"Fun, casual dates, Life partner, Long-term relationship",No,i dont use my real name so that only those who i take out of bumble will know. ,4-5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",i dont understand this question,"Same Age, Same Location, Same Interests",Women,Yes,just my personal preference,Matches that don't respond,is not good with making conversation,3 - No Impact,4 - Somewhat positively improved my self-confidence,people can be great liars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2025 20:43:25,21,Bisexual,Male,Laguna,"For entertainment, eme for ano dating ",Few times a week,Less than a month,No,None,2,Dating,"Fun, casual dates, Intimacy, without commitment",No,Privacy ,"10 i guess or more than, wow pogi",Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,Exploring ako eh maybe it's my ideal type ,Same Age,Men,Yes,"That's the rule of bumble when you matched, sino una ata mag swipe ganon","Finding genuine connections, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not my type","Quiet, nonchalant ",2 - Somewhat negatively affected my social life,3 - No Impact,Uhm just enjoy and explore and don't expect anything so you wouldn't hurt yourself ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2025 21:10:10,27,Bisexual,Male,Cavite,to look for people i can connect with whether as friends or more,Several times a day,More than a year,Yes,Boost,3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment, Life partner, Long-term relationship",Yes,i believe in being genuine and authentic as a way of adding to a person's likeability,10?,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","i prefer to connect with people bear to my age since most of the time these people have the same goals, wants, and/or outlook in life as me.","Same Location, Same Interests",im fine with any tbh,Yes,it shows eagerness and initiative. i think that it helps in making genuine connections specially when what you say is something with sense and substance.,"Geographic distance, Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches",when they seem uninterested right from the start,3 - No Impact,3 - No Impact,never let relationships get in the way of your studies. people come and go so you must be able to get back on your feet and pick yourself up when someone leaves. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2025 14:25:59,23,Queer,Non-binary,Zamboanga del Sur,Make other queer friends,Few times a week,6-12 months,No,None,3,BFF,,,,,,,,,,,,,,,,"Gaming, Live Music, Nights out, People to meet in real life, Travel, Workouts and Sports",Yes,So meeting in person would be easier to just use my name,no clear number as i dont use it too much,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","Around the same age range, young to mid 20s",Same Interests,Women,No,Depends actually if something on their bio piques me,Geographic distance,Feeling lonely,Yes,About 10 or so? Many I dont talk to anymore,"To some people looks are important to make friends, which doesnt make much sense but ok",,,,,,,,,,,,,,,
4/8/2025 18:32:33,24,Heterosexual (straight),Male,Metro Manila,for fun and an opportunity to meet other people,Few times a week,3-6 months,Yes,24 hours unlimited swipe,3,Dating,"Fun, casual dates",No,fear of someone dedicated enough to be able to find my other socmed ,3,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",can't really explain but I tend to follow the -3 and +3 age difference,"Same Age, Same Interests, Different Age, Different Location",Women,No,The female makes the first move in the app but if they have those pre-ready questions I will try to answer it.,"Finding genuine connections, Geographic distance, I am not their type, Matches with people that ghosts or unexpectedly unmatches, Not my type",ghosting during some convo,3 - No Impact,3 - No Impact,In the long run you will eventually realize which pictures actually look good ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2025 21:46:51,23,Prefer not to say,Female,Laguna,"I use Bumble mainly out of boredom. Moreover, I also use it if I want to meet new people.",Rarely,More than a year,No,None,2,Dating,"Ethical Monogamy, Fun, casual dates, Long-term relationship",Yes,I use my real name because I do not see the point of using a fake name.,About more than 10,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I prefer dating someone around the same age or small age difference because we’re likely in similar life stages and share common experiences. ,"Same Age, Same Interests, Different University/College, Different Degree Program, Different Age",Men,Yes,I choose to send the first message because I believe in taking initiative and showing genuine interest. It helps set a positive tone for the conversation.,"Finding genuine connections, Having similar relationship goals, Not my type",I find it challenging when conversations feel limited because it can make it hard to build a genuine connection or let the interaction flow naturally.,3 - No Impact,4 - Somewhat positively improved my self-confidence,"I found love on Bumble, and although it didn’t work out, it was a valuable learning experience. I had to unlearn some attachment issues and really focus on understanding what I truly need in a relationship.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2025 22:42:53,20,Heterosexual (straight),Female,Batangas,"to meet people, and probably date some of them haha and have new instagram mutuals ;)",Few times a month,1-3 months,No,None,3,Dating,"Fun, casual dates, Long-term relationship",Yes,it's weird not to use your real name lol,7,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"well personally, i like older guys because maybe they're more mature ..? maybe haha","Same Location, Different University/College, Different Age",Men,Yes,"it actually depends on my mood, but doing the first move is not embarrassing– at least for me :) you gotta pursue what you like ;)","Finding genuine connections, Matches that don't respond, Not my type",that they don't engage with the conversation and just small talks x_x,3 - No Impact,3 - No Impact,hmmm i installed bumble for fun and because i was bored. i don't think i've really had any learning experiences from it.. maybe you just meet different kinds of guys there and have to pick the most decent and likeable one haha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2025 0:37:44,21,asexual,Female,Metro Manila,to find a companion in a way that i can entertain myself by trying to know a complete random stranger,Rarely,3-6 months,No,None,2,Dating,Ethical Monogamy,No,"well for one, it is not completely impossible for my profile to pop on a mutual’s bumble “options” and I specifically go to bumble to meet a stranger, not someone I already know. ",5,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,"Well, there come times that something catches my eyes even without looking through their profile but also at the same time there are some that I think needs a little more “investigation” before I swipe on them. ","Same Age, Same Interests, Different Location",Both,No,"It actually depends. Usually, I initiate the conversation when I match with a  woman but most of the time I don’t because I tend to match with guys more than gals. I don’t intiate conversations with guys. ","Finding genuine connections, Matches that don't respond, Not enough matches, Not my type",Blatantly disrespectful and/or having really different political stance to the point where his/her decisions are actually questionable for me. People who are so full of themselves. ,3 - No Impact,4 - Somewhat positively improved my self-confidence,"The world is a big place. You get to meet a pool of people who are very different from each other and from you. In a world full of uncertainties in romantic connections, you just need to find one that is really meant for you. I don’t mean to say this in a cheesy way but what I just mean is that just find the person fir for your preference, want, and need. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2025 13:36:24,25,Heterosexual (straight),Male,Laguna,Bored,Rarely,Less than a month,No,None,3,Dating,"Fun, casual dates",No,Discreet ,10,Selective swiping - I swipe right only on profiles that genuinely catch my interest,21-26,Same University/College,Women,No,Hindi naman ako babae ih,Having similar relationship goals,Wala,1 - Very Negatively affected my social life,2 - Somewhat negatively affected my self-confidence,wala naman akong natutunan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2025 21:58:39,19,Bisexual,Male,Laguna,I use Bumble whenever I'm bored or to pass time. ,Few times a month,More than a year,No,None,3,Dating,"Fun, casual dates, Intimacy, without commitment, Life partner, Long-term relationship",No,"I do have an uncommon name. In this case, I do not want other people to stalk me easily in any social media platforms without matching with them first. ",0-2,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.","As much as possible, I do prefer matching with people around my age. I believe it will be easier to find common hobbies, interests, or just overall same vibes from people with the same age as me. These similarities will help me establish a healthy connection or relationship with other people. ","Same Age, Same Interests",Men,Yes,"I think, life is too short to hold back. The least thing that I can do is to always shoot my shot, so that I can minimize my regrets in the future. ","Finding genuine connections, Geographic distance, Having similar relationship goals, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type","I hate transactional conversations. I also hate it when other people respond sparingly, or if they never bother to initiate opening up a new topic for conversation. ",3 - No Impact,2 - Somewhat negatively affected my self-confidence,I have learned that nothing will beat personal and close interactions when building connections with other people. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2025 10:41:42,19,Bisexual,Male,Metro Manila,For fun and potential,Few times a week,Less than a month,No,None,3,Dating,"Fun, casual dates",No,"Privacy, plus cool nickname",5,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Maturity and experience,"Same Location, Same Interests, Different Age",Men,Yes,Its more fun in the philippines ,Finding genuine connections,"If they only want sex, tigang na tigang ",3 - No Impact,3 - No Impact,Choose the right people so that you wont get killed and kidnapped or worse have a situationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 19:07:33,21,Heterosexual (straight),Female,Laguna,Loneliness,Few times a month,More than a year,No,None,2,Dating,"Fun, casual dates, Long-term relationship",Yes,I don't feel the need to hide my real name. ,less than 5,Selective swiping - I swipe right only on profiles that genuinely catch my interest,Same life stage which means to me that we're more likely to be compatible.,"Same University/College, Same Location, Same Interests",Men,No,I don't know what to say + when I do try ang dry ng mga replies ng guys and then I always end up uninstalling the app. ,"Finding genuine connections, Having similar relationship goals, Dry replies",No initiative to communicate well.,3 - No Impact,4 - Somewhat positively improved my self-confidence,That I'm very picky lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 20:27:26,20,Heterosexual (straight),Male,Metro Manila,tbh for all the reasons lol. anything from casual dates to finding a LTR partner to just finding friends.,Several times a day,6-12 months,Yes,"Premium, Premium+",2,Dating,"Fun, casual dates, Intimacy, without commitment, Long-term relationship",Yes,the real name i use on my bumb account is the one i use less anyway,3,Selective swiping - I swipe right only on profiles that genuinely catch my interest,because i believe in half-age-plus-seven rule,"Same University/College, Same Age, Same Location",Women,Yes,because i feel confident enough to do so and cus it usually works 😎,"Geographic distance, Having similar relationship goals, Matches that don't respond, Not enough matches",when they don't match my energy,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,it REALLY takes patience to get dating apps to work; perhaps the real lesson is to ditch the apps altogether lol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2025 8:59:20,21,Bisexual,Male,Laguna,Casual dates and the occasional hook-ups,Once a day,More than a year,Yes,Unlimited swipes,1,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,I don't see a reason to hide my name - it's my principle to be completely honest about who I am.,3-6,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I don't have a particular age preference - I find that I can connect with everyone no matter their age.,"Same University/College, Same Interests",Women,Yes,"For the most part, I'm really forced to do so. Women rarely ever take the first move (even when the entire point of Bumble is so women can do that). My chances of having a conversation shoot up when I reply to an opening move. Thankfully when I match with men, I never have to take the first move.",Finding genuine connections,"(1) Boring people with no particular interests, (2) people who expect me to carry the conversation, (3) people who immediately jump to sex talk, and (4) people who take over 36 hours to respond.",3 - No Impact,3 - No Impact,"Bumble is a great way to ruin your life if you're a loverboy. You have to be smart and constantly reexamine yourself, your intentions, and their intentions because assumptions will only lead to heartbreak. Finding love in Bumble (or online dating in general) is not impossible, but a prima facie rundown of my own experiences and the experiences of other people I know who use Bumble overwhelmingly show that it's very difficult to come by.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2025 9:10:52,22,Heterosexual (straight),Male,Camarines Sur,I wanted connection with others so I used Bumble which is easy and accessible to me without leaving my home. ,Few times a month,3-6 months,Yes,Superswipe,2,Dating,"Fun, casual dates",No,"I use my nickname not my full government name, not because I want it to be anonymous but I want to be called by my nickname ",2,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Same Age. I’d like people who are on the same wavelength as me so we could vibe easier. Interacting with similar age is more comfortable for me. ,"Same Location, Same Interests, Different University/College, Different Location",Women,Yes,Initiating contact is easy for me,"Finding genuine connections, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",Ghosting,3 - No Impact,3 - No Impact,Bumble is fun but not for genuine relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2025 13:31:42,18,Panromantic ,Male,Batangas,"To find connections, those connections varying from romance to friendship but really more about expanding my social circles",Once a day,6-12 months,No,None,4,Dating,"Life partner, Long-term relationship",No,I feel like my real name can be learned after we can vibe? ,1,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","Different age, it's rare to find same age that matches the same interests as mune",Same Interests,Men,Yes,"I think me making the first move has a greater chance for me to set the mood, making it more chill and approachable",Finding genuine connections,"IG only or date to fuck, i don't really mind but it's a little dislike of mine",4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,"Always take time in knowing the person, don't be fast. Bumble is a very chaotic experience and it's something you need to balance yet live while using it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2025 1:37:59,23,Heterosexual (straight),Male,Laguna,"Just for fun. Nothing serious. Pero kung may papalag, G lang. ",Few times a week,More than a year,No,None,2,Dating,"Fun, casual dates, Intimacy, without commitment, Long-term relationship",Yes,"They will still know me, regardless ",2,Aggressive swiping - I swipe to maximize matches and filter later,More choices later,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Women,No,They usually first move,"Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type",They cannot hold conversations. No goal,3 - No Impact,3 - No Impact,Dates/talking stages ended in bad terms. Not recommended if you want to be serious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2025 11:27:07,24,Heterosexual (straight),Male,Laguna,To meet potential partners,Few times a week,More than a year,Yes,"Boost, Superswipe",2,Dating,"Fun, casual dates",Yes,I have a very common name,3,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,There aren’t a lot of people with the same age,Same Interests,Women,Yes,Vibe checking,"Finding genuine connections, I am not their type, Matches that don't respond, Not enough matches, Not my type",Trauma dumping,2 - Somewhat negatively affected my social life,3 - No Impact,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2025 11:30:13,22,Heterosexual (straight),Female,Benguet,To look for a potential partner.,Few times a week,More than a year,Yes,"Premium, Spotlight",3,Dating,"Fun, casual dates, Life partner",No,For privacy purposes.,Around 15-20,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",I prefer guys around my age since they almost always pass the vibe check. ,"Same Age, Same Interests, Different University/College, Different Location",Men,Yes,The app usually allows females to make the first move under heterosexual users.,"Finding genuine connections, Not my type",People with no depth/substance. ,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,"As a student, I have become more confident in dating and in meeting people. It improved my social skills to the point that if me and my match do not see us taking it to the next level, we agree to become acquaintances instead. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2025 16:36:46,29,Bisexual,Male,Laguna,To find real connection,Several times a day,Less than a month,Yes,Premium,2,Dating,"Life partner, Long-term relationship",Yes,.,3,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",Any age will do,Anything,Men,Yes,Just to keep the momentum going,"Finding genuine connections, Having similar relationship goals, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",They don’t respond ,3 - No Impact,1 - Very Negatively affected my self-confidence,Not all you like are willing to get to know you. They are just looking for fun (sex).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2025 20:46:05,19,Gay,Male,Laguna,For connections and friends.,Once a day,Less than a month,No,None,3,BFF,,,,,,,,,,,,,,,,People to meet in real life,Yes,N/A,4 times,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I prefer someone around my age because we're likely to have similar interests, experiences, and perspectives.",Same Age,Men,Yes,"
Because I prefer to take the initiative and start conversations with my matches.",Communication consistency,Expanding social circle,No,3-5 ,"
I learned to communicate better and set boundaries through using Bumble to find friends.",,,,,,,,,,,,,,,
4/28/2025 18:15:36,21,Bisexual,Female,Laguna,Boredom lang at to find new connections,Once a day,6-12 months,No,None,3,Dating,"Fun, casual dates, Intimacy, without commitment, Long-term relationship",No,To avoid getting searched in other socmed platforms,50-100,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.","Different Age, I feel like they are more emotionally mature","Same University/College, Same Degree Program, Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Men,No,Not sure what opening move to do,"Finding genuine connections, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not my type",down to fuck culture,3 - No Impact,3 - No Impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2025 20:17:39,26,Heterosexual (straight),Male,Oriental Mindoro,To find a meaningful connection,Rarely,1-3 months,Yes,Boost,3,Dating,"Fun, casual dates, Long-term relationship",Yes,People will eventually find out anyway so I just use my real name or nickname.,10,Selective swiping - I swipe right only on profiles that genuinely catch my interest,It's easier to find the same wavelength in people of the same age or slightly older.,Same Interests,Women,Yes,"Because it's usually a ""tell"" if someone is genuinely interested in you.","Finding genuine connections, Geographic distance, Matches that don't respond, Not my type",Trauma dumping.,3 - No Impact,3 - No Impact,Bumble is somewhat of a gateway to developing a tendency of superficially judging people based on appearances (lookism). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2025 20:43:46,25,Heterosexual (straight),Male,Oriental Mindoro,I used it before to find people to hang out with,Rarely,More than a year,No,None,3,Dating,"Fun, casual dates, Life partner, Marriage",Yes,I have nothing to gain from hiding my name,20,Selective swiping - I swipe right only on profiles that genuinely catch my interest,Age doesn't matter as long as they are legal,"Same Location, Same Interests",Women,No,"In bumble, women need to message first to unlock the message feature for the guy",Matches with people that ghosts or unexpectedly unmatches,When I already know them personally ,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,Its not for everyone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2025 20:53:14,24,Heterosexual (straight),Male,Laguna,"Find new friends, establish connections",Rarely,Less than a month,No,None,3,BFF,,,,,,,,,,,,,,,,"Couple friends, Gaming, Live Music, People to meet in real life, Travel",Yes,Honesty and transparency,15,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",Rule out people that dont have the same interests as me,Same Interests,Women,Yes,First move is usually for men,Matches that don't respond,Expanding social circle,Yes,5,Should not set any expectations,,,,,,,,,,,,,,,
4/29/2025 12:47:38,21,Pansexual,Female,Laguna,to date,Few times a week,More than a year,No,None,3,Dating,"Fun, casual dates, Long-term relationship",Yes,authenticity,3,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,"minsan kapag bored, inoopen yung bumble ",random,all,No,i hate when i first move. pero nagfifirst move if type ko talaga,"Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",bastos,4 - Somewhat positively improved my social life,3 - No Impact,for fun lang talaga. no learnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025 12:56:38,19,Heterosexual (straight),Male,Laguna,"To pass time, to meet new people and possibly someone I can match with",Once a day,Less than a month,No,None,2,Dating,"Fun, casual dates, Long-term relationship",Yes,To let people know the real me,5,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","Same Age, just because I think I would vibe more with people with the same age as mine, rather than those who are far more older/younger. ","Same Age, Same Interests",Women,Yes,"Just to get a grasp of the person’s vibes, and if it matches with mine, then we cool","Finding genuine connections, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",Ghosting,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,"A somewhat learning experience I’ve learned is that you cannot please everyone. As a people pleaser, I tend to make other people happy/satisfied/pleased just for the sake of being/talking with them, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025 13:51:35,21,Bisexual,Female,Laguna,I was bored,Several times a day,3-6 months,No,None,3,Dating,"Ethical Monogamy, Fun, casual dates",Yes,"I only used my nickname, not my full name",3,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",Different age (older) because I want someone who is more mature than me,"Same Interests, Different Age, Different Location",Men,No,I don’t want to be seen as a pushover,"Finding genuine connections, I am not their type, Matches that don't respond",Related to sex is their first message,2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,Don’t be afraid to interact with your crush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025 13:51:42,21,Heterosexual (straight),Male,Laguna,Trip ko lng,Few times a week,3-6 months,No,None,4,Dating,"Fun, casual dates, Intimacy, without commitment, Long-term relationship",Yes,n/a,4-5,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Same age,Same University/College,Women,No,pagod na kasi ako,"Geographic distance, I am not their type",Smoking,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,Wag magldr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
